,symbol,signal,req,trades,pv,minutes,retrack_days
494,eth,0.35,0.35,0,100.0,,1
495,eth,0.35,0.4,0,100.0,,1
496,eth,0.4,0.05,0,100.0,,1
497,eth,0.4,0.1,0,100.0,,1
483,eth,0.3,0.2,0,100.0,,1
481,eth,0.3,0.1,0,100.0,,1
499,eth,0.4,0.2,0,100.0,,1
1,btc,0.0,0.1,0,100.0,,1
426,btc,0.4,0.15,0,100.0,,6
427,btc,0.4,0.2,0,100.0,,6
428,btc,0.4,0.25,0,100.0,,6
429,btc,0.4,0.3,0,100.0,,6
430,btc,0.4,0.35,0,100.0,,6
431,btc,0.4,0.4,0,100.0,,6
433,eth,0.0,0.1,0,100.0,,1
480,eth,0.3,0.05,0,100.0,,1
434,eth,0.0,0.15,0,100.0,,1
435,eth,0.0,0.2,0,100.0,,1
436,eth,0.0,0.25,0,100.0,,1
437,eth,0.0,0.3,0,100.0,,1
438,eth,0.0,0.35,0,100.0,,1
439,eth,0.0,0.4,0,100.0,,1
498,eth,0.4,0.15,0,100.0,,1
500,eth,0.4,0.25,0,100.0,,1
424,btc,0.4,0.05,0,100.0,,6
566,eth,0.35,0.35,0,100.0,,2
560,eth,0.35,0.05,0,100.0,,2
561,eth,0.35,0.1,0,100.0,,2
562,eth,0.35,0.15,0,100.0,,2
563,eth,0.35,0.2,0,100.0,,2
564,eth,0.35,0.25,0,100.0,,2
565,eth,0.35,0.3,0,100.0,,2
567,eth,0.35,0.4,0,100.0,,2
558,eth,0.3,0.35,0,100.0,,2
568,eth,0.4,0.05,0,100.0,,2
569,eth,0.4,0.1,0,100.0,,2
570,eth,0.4,0.15,0,100.0,,2
571,eth,0.4,0.2,0,100.0,,2
572,eth,0.4,0.25,0,100.0,,2
573,eth,0.4,0.3,0,100.0,,2
559,eth,0.3,0.4,0,100.0,,2
557,eth,0.3,0.3,0,100.0,,2
501,eth,0.4,0.3,0,100.0,,1
508,eth,0.0,0.25,0,100.0,,2
502,eth,0.4,0.35,0,100.0,,1
503,eth,0.4,0.4,0,100.0,,1
504,eth,0.0,0.05,0,100.0,,2
505,eth,0.0,0.1,0,100.0,,2
506,eth,0.0,0.15,0,100.0,,2
507,eth,0.0,0.2,0,100.0,,2
509,eth,0.0,0.3,0,100.0,,2
556,eth,0.3,0.25,0,100.0,,2
510,eth,0.0,0.35,0,100.0,,2
511,eth,0.0,0.4,0,100.0,,2
552,eth,0.3,0.05,0,100.0,,2
553,eth,0.3,0.1,0,100.0,,2
554,eth,0.3,0.15,0,100.0,,2
555,eth,0.3,0.2,0,100.0,,2
425,btc,0.4,0.1,0,100.0,,6
423,btc,0.35,0.4,0,100.0,,6
289,btc,0.0,0.1,0,100.0,,5
346,btc,0.35,0.15,0,100.0,,5
340,btc,0.3,0.25,0,100.0,,5
341,btc,0.3,0.3,0,100.0,,5
342,btc,0.3,0.35,0,100.0,,5
343,btc,0.3,0.4,0,100.0,,5
344,btc,0.35,0.05,0,100.0,,5
345,btc,0.35,0.1,0,100.0,,5
347,btc,0.35,0.2,0,100.0,,5
338,btc,0.3,0.15,0,100.0,,5
348,btc,0.35,0.25,0,100.0,,5
349,btc,0.35,0.3,0,100.0,,5
350,btc,0.35,0.35,0,100.0,,5
351,btc,0.35,0.4,0,100.0,,5
352,btc,0.4,0.05,0,100.0,,5
353,btc,0.4,0.1,0,100.0,,5
339,btc,0.3,0.2,0,100.0,,5
337,btc,0.3,0.1,0,100.0,,5
355,btc,0.4,0.2,0,100.0,,5
328,btc,0.25,0.05,0,100.0,,5
290,btc,0.0,0.15,0,100.0,,5
291,btc,0.0,0.2,0,100.0,,5
292,btc,0.0,0.25,0,100.0,,5
293,btc,0.0,0.3,0,100.0,,5
294,btc,0.0,0.35,0,100.0,,5
295,btc,0.0,0.4,0,100.0,,5
329,btc,0.25,0.1,0,100.0,,5
336,btc,0.3,0.05,0,100.0,,5
